id,length,width,height,weight_kg,fragile,volume_cm3,density,size_category
1,62.0,17.0,60.0,0.02,True,63240.0,3.1625553447185326e-07,Large
2,15.0,12.0,6.0,0.015,True,1080.0,1.3888888888888888e-05,Medium
3,31.0,25.0,9.0,2.0,True,6975.0,0.0002867383512544803,Medium
4,61.0,43.0,8.0,0.5,True,20984.0,2.3827678231033168e-05,Large
5,58.0,39.0,38.0,8.0,True,85956.0,9.307087347014752e-05,Large
6,34.0,34.0,53.0,20.0,True,61268.0,0.00032643468042044786,Large
7,33.0,33.0,24.0,10.0,True,26136.0,0.00038261401897765536,Large
8,16.0,16.0,5.0,0.4,True,1280.0,0.0003125,Medium
9,15.0,15.0,7.0,0.005,True,1575.0,3.1746031746031746e-06,Medium
10,35.0,26.0,35.0,8.0,True,31850.0,0.0002511773940345369,Large
11,60.0,38.5,40.0,12.6,False,92400.0,0.00013636363636363637,Large
12,72.0,30.0,17.0,19.25,False,36720.0,0.0005242374727668845,Large
13,110.0,20.0,20.0,3.5,True,44000.0,7.954545454545455e-05,Large
14,96.0,33.0,43.0,8.25,False,136224.0,6.056201550387597e-05,Large
15,44.0,19.5,8.5,2.9,False,7293.0,0.00039764157411216233,Medium
16,21.0,30.0,7.0,0.25,False,4410.0,5.668934240362812e-05,Medium
17,60.0,42.0,45.0,13.6,True,113400.0,0.0001199294532627866,Large
18,39.0,39.0,43.0,11.7,True,65403.0,0.00017889087656529517,Large
19,38.5,31.0,8.0,6.4,True,9548.0,0.0006702974444909929,Medium
20,20.0,21.0,11.0,1.2,False,4620.0,0.00025974025974025974,Medium
21,25.0,25.0,30.0,3.9,True,18750.0,0.000208,Large
22,37.0,31.0,23.0,13.65,False,26381.0,0.0005174178385959592,Large
23,29.0,29.0,15.0,2.65,False,12615.0,0.0002100673801030519,Large
24,39.0,28.0,17.0,3.25,False,18564.0,0.00017507002801120448,Large
25,30.0,25.0,25.0,3.9,True,18750.0,0.000208,Large
26,20.0,18.0,11.5,4.0,False,4140.0,0.000966183574879227,Medium
27,40.0,26.0,62.0,9.35,False,64480.0,0.00014500620347394542,Large
28,66.0,10.0,12.5,9.8,True,8250.0,0.0011878787878787879,Medium
29,40.0,18.0,30.0,3.25,True,21600.0,0.00015046296296296297,Large
30,85.0,38.0,18.0,8.15,False,58140.0,0.00014017887856897145,Large
31,23.0,22.0,7.0,1.05,False,3542.0,0.0002964426877470356,Medium
