id,length,width,height,weight_kg,fragile
1,62.0,17.0,60.0,0.02,True
2,15.0,12.0,6.0,0.015,True
3,31.0,25.0,9.0,2.0,True
4,61.0,43.0,8.0,0.5,True
5,58.0,39.0,38.0,8.0,True
6,34.0,34.0,53.0,20.0,True
7,33.0,33.0,24.0,10.0,True
8,16.0,16.0,5.0,0.4,True
9,15.0,15.0,7.0,0.005,True
10,35.0,26.0,35.0,8.0,True
11,60.0,38.5,40.0,12.6,False
12,72.0,30.0,17.0,19.25,False
13,110.0,20.0,20.0,3.5,True
14,96.0,33.0,43.0,8.25,False
15,44.0,19.5,8.5,2.9,False
16,21.0,30.0,7.0,0.25,False
17,60.0,42.0,45.0,13.6,True
18,39.0,39.0,43.0,11.7,True
19,38.5,31.0,8.0,6.4,True
20,20.0,21.0,11.0,1.2,False
21,25.0,25.0,30.0,3.9,True
22,37.0,31.0,23.0,13.65,False
23,29.0,29.0,15.0,2.65,False
24,39.0,28.0,17.0,3.25,False
25,30.0,25.0,25.0,3.9,True
26,20.0,18.0,11.5,4.0,False
27,40.0,26.0,62.0,9.35,False
28,66.0,10.0,12.5,9.8,True
29,40.0,18.0,30.0,3.25,True
30,85.0,38.0,18.0,8.15,False
31,23.0,22.0,7.0,1.05,False
32,51.2,43.1,75.3,30.0,True
33,114.6,18.4,15.3,7.992,False
34,90.5,59.9,30.6,30.0,False
35,75.9,63.3,13.5,30.0,False
36,27.2,49.3,74.4,30.0,False
37,27.2,64.0,70.8,30.0,False
38,16.4,44.6,24.3,9.816,False
39,105.3,46.6,54.5,30.0,False
40,76.1,39.9,66.3,30.0,False
41,87.9,11.8,46.6,23.639,False
42,12.3,17.6,44.7,3.943,False
43,116.7,12.2,23.1,14.342,False
44,101.6,54.5,12.0,30.0,True
45,33.4,32.0,72.3,30.0,True
46,30.0,45.6,72.5,23.396,True
47,30.2,73.5,52.5,29.899,True
48,43.5,27.5,30.4,3.698,True
49,67.7,38.7,31.2,30.0,False
50,57.5,62.9,59.4,14.989,True
51,42.0,26.0,72.3,24.165,False
52,77.3,15.4,71.5,29.659,False
53,25.3,30.3,63.5,10.106,True
54,42.1,21.3,53.2,17.888,False
55,50.3,75.1,11.3,2.85,True
56,60.2,66.6,17.1,4.836,True
57,96.4,54.3,72.4,30.0,False
58,32.0,71.0,50.5,28.467,False
59,66.6,66.3,5.7,3.017,False
60,75.2,23.1,12.6,7.381,False
61,15.1,72.5,54.8,28.406,False
62,76.8,47.8,5.4,3.344,True
63,28.8,66.5,17.1,12.857,True
64,17.2,72.7,46.2,5.6,False
65,114.4,32.3,56.9,16.489,False
66,116.2,17.7,53.9,30.0,False
67,98.9,26.0,21.8,19.471,False
68,43.5,39.9,58.4,30.0,False
69,20.7,67.3,22.8,14.273,False
70,85.3,70.3,29.4,30.0,False
71,58.4,10.5,61.0,12.492,False
72,23.4,45.8,53.7,13.1,False
73,64.5,39.2,68.7,30.0,False
74,13.8,25.5,54.3,3.802,False
75,110.0,18.4,47.6,28.077,False
76,38.5,33.6,12.0,1.446,True
77,82.9,76.0,32.6,13.133,False
78,44.3,32.6,24.9,20.837,False
79,67.2,46.3,23.3,30.0,False
80,70.1,59.2,78.0,30.0,False
81,30.3,35.5,34.5,10.202,False
82,116.7,78.0,71.9,30.0,False
83,95.3,77.4,52.3,30.0,True
84,113.3,27.6,64.6,30.0,False
85,108.4,44.8,42.7,30.0,True
86,75.8,31.1,48.3,30.0,False
87,111.4,29.9,41.9,30.0,False
88,19.7,12.6,19.6,0.992,False
89,31.6,52.7,59.2,30.0,False
90,15.0,45.2,26.1,8.067,False
91,45.8,13.6,6.8,1.503,False
92,52.8,29.5,53.4,30.0,True
93,39.8,73.6,18.3,15.051,False
94,101.2,26.8,75.5,30.0,False
95,49.2,20.1,76.5,18.594,False
96,40.9,44.3,73.6,30.0,False
97,69.7,79.0,32.8,10.46,False
98,25.5,26.9,6.2,0.484,True
99,98.2,57.0,74.6,30.0,False
100,18.2,63.3,37.1,3.095,True
101,118.6,26.6,77.5,30.0,False
102,94.9,61.0,77.3,30.0,False
103,31.9,35.7,69.0,24.422,False
104,10.6,54.3,27.1,1.619,False
105,99.7,54.3,33.9,30.0,True
106,87.8,47.5,68.8,30.0,True
107,90.2,16.3,28.8,6.151,False
108,94.8,68.5,17.7,30.0,False
109,18.1,32.5,46.8,7.41,True
110,49.4,23.1,75.2,30.0,True
111,22.7,12.9,57.2,6.688,False
112,104.9,51.4,47.8,19.308,True
113,78.6,57.4,12.3,14.208,False
114,46.4,11.2,51.1,10.469,False
115,17.0,45.8,79.3,20.173,True
116,44.2,25.9,15.5,9.246,True
117,45.8,55.2,43.9,30.0,False
118,90.3,22.2,70.8,19.815,False
119,80.1,58.4,60.6,25.176,False
120,107.6,37.1,57.3,30.0,False
