id,length,width,height,weight_kg,fragile,volume_cm3,density,size_category
1,62.0,17.0,60.0,0.02,True,63240.0,3.162555344718533e-07,Large
2,15.0,12.0,6.0,0.015,True,1080.0,1.3888888888888888e-05,Medium
3,31.0,25.0,9.0,2.0,True,6975.0,0.0002867383512544,Medium
4,61.0,43.0,8.0,0.5,True,20984.0,2.3827678231033168e-05,Large
5,58.0,39.0,38.0,8.0,True,85956.0,9.307087347014752e-05,Large
6,34.0,34.0,53.0,20.0,True,61268.0,0.0003264346804204,Large
7,33.0,33.0,24.0,10.0,True,26136.0,0.0003826140189776,Large
8,16.0,16.0,5.0,0.4,True,1280.0,0.0003125,Medium
9,15.0,15.0,7.0,0.005,True,1575.0,3.174603174603174e-06,Medium
10,35.0,26.0,35.0,8.0,True,31850.0,0.0002511773940345,Large
11,60.0,38.5,40.0,12.6,False,92400.0,0.0001363636363636,Large
12,72.0,30.0,17.0,19.25,False,36720.0,0.0005242374727668,Large
13,110.0,20.0,20.0,3.5,True,44000.0,7.954545454545455e-05,Large
14,96.0,33.0,43.0,8.25,False,136224.0,6.056201550387597e-05,Large
15,44.0,19.5,8.5,2.9,False,7293.0,0.0003976415741121,Medium
16,21.0,30.0,7.0,0.25,False,4410.0,5.668934240362812e-05,Medium
17,60.0,42.0,45.0,13.6,True,113400.0,0.0001199294532627,Large
18,39.0,39.0,43.0,11.7,True,65403.0,0.0001788908765652,Large
19,38.5,31.0,8.0,6.4,True,9548.0,0.0006702974444909,Medium
20,20.0,21.0,11.0,1.2,False,4620.0,0.0002597402597402,Medium
21,25.0,25.0,30.0,3.9,True,18750.0,0.000208,Large
22,37.0,31.0,23.0,13.65,False,26381.0,0.0005174178385959,Large
23,29.0,29.0,15.0,2.65,False,12615.0,0.000210067380103,Large
24,39.0,28.0,17.0,3.25,False,18564.0,0.0001750700280112,Large
25,30.0,25.0,25.0,3.9,True,18750.0,0.000208,Large
26,20.0,18.0,11.5,4.0,False,4140.0,0.0009661835748792,Medium
27,40.0,26.0,62.0,9.35,False,64480.0,0.0001450062034739,Large
28,66.0,10.0,12.5,9.8,True,8250.0,0.0011878787878787,Medium
29,40.0,18.0,30.0,3.25,True,21600.0,0.0001504629629629,Large
30,85.0,38.0,18.0,8.15,False,58140.0,0.0001401788785689,Large
31,23.0,22.0,7.0,1.05,False,3542.0,0.000296442687747,Medium
32,51.2,43.1,75.3,30.0,True,166166.016,0.0001805423318327,Large
33,114.6,18.4,15.3,7.992,False,32262.192,0.0002477203036917,Large
34,90.5,59.9,30.6,30.0,False,165881.07,0.0001808524625504,Large
35,75.9,63.3,13.5,30.0,False,64860.345,0.0004625322298239,Large
36,27.2,49.3,74.4,30.0,False,99767.424,0.0003006993545307,Large
37,27.2,64.0,70.8,30.0,False,123248.63999999998,0.0002434103938185,Large
38,16.4,44.6,24.3,9.816,False,17773.992,0.0005522676053865,Large
39,105.3,46.6,54.5,30.0,False,267430.41,0.0001121787159508,Large
40,76.1,39.9,66.3,30.0,False,201312.657,0.0001490219266243,Large
41,87.9,11.8,46.6,23.639,False,48334.452000000005,0.0004890714391465,Large
42,12.3,17.6,44.7,3.943,False,9676.656,0.0004074754749988,Medium
43,116.7,12.2,23.1,14.342,False,32888.394,0.000436080886163,Large
44,101.6,54.5,12.0,30.0,True,66446.4,0.0004514917286715,Large
45,33.4,32.0,72.3,30.0,True,77274.23999999999,0.0003882276939896,Large
46,30.0,45.6,72.5,23.396,True,99180.0,0.0002358943335349,Large
47,30.2,73.5,52.5,29.899,True,116534.25,0.000256568347932,Large
48,43.5,27.5,30.4,3.698,True,36366.0,0.0001016883902546,Large
49,67.7,38.7,31.2,30.0,False,81743.68800000001,0.0003670008135674,Large
50,57.5,62.9,59.4,14.989,True,214834.95,6.976983959081147e-05,Large
51,42.0,26.0,72.3,24.165,False,78951.59999999999,0.0003060735944553,Large
52,77.3,15.4,71.5,29.659,False,85115.03,0.0003484578458117,Large
53,25.3,30.3,63.5,10.106,True,48678.465,0.0002076072037193,Large
54,42.1,21.3,53.2,17.888,False,47706.036,0.0003749630340278,Large
55,50.3,75.1,11.3,2.85,True,42686.08899999999,6.676648216705917e-05,Large
56,60.2,66.6,17.1,4.836,True,68559.372,7.053740223874864e-05,Large
57,96.4,54.3,72.4,30.0,False,378979.2480000001,7.916000719912768e-05,Large
58,32.0,71.0,50.5,28.467,False,114736.0,0.0002481087017152,Large
59,66.6,66.3,5.7,3.017,False,25168.806,0.0001198706049067,Large
60,75.2,23.1,12.6,7.381,False,21887.712,0.0003372211768868,Large
61,15.1,72.5,54.8,28.406,False,59992.3,0.0004734940984092,Large
62,76.8,47.8,5.4,3.344,True,19823.616,0.0001686876904798,Large
63,28.8,66.5,17.1,12.857,True,32749.92,0.0003925811116485,Large
64,17.2,72.7,46.2,5.6,False,57770.32800000001,9.693557564706918e-05,Large
65,114.4,32.3,56.9,16.489,False,210252.328,7.842481534853684e-05,Large
66,116.2,17.7,53.9,30.0,False,110858.28599999998,0.0002706157661503,Large
67,98.9,26.0,21.8,19.471,False,56056.52,0.0003473458573596,Large
68,43.5,39.9,58.4,30.0,False,101361.96,0.0002959690203307,Large
69,20.7,67.3,22.8,14.273,False,31762.908,0.0004493606189962,Large
70,85.3,70.3,29.4,30.0,False,176299.74599999996,0.0001701647375033,Large
71,58.4,10.5,61.0,12.492,False,37405.2,0.0003339642616534,Large
72,23.4,45.8,53.7,13.1,False,57551.364,0.0002276227545189,Large
73,64.5,39.2,68.7,30.0,False,173701.08000000002,0.0001727104978276,Large
74,13.8,25.5,54.3,3.802,False,19108.17,0.0001989724814045,Large
75,110.0,18.4,47.6,28.077,False,96342.4,0.000291429318763,Large
76,38.5,33.6,12.0,1.446,True,15523.2,9.315089672232527e-05,Large
77,82.9,76.0,32.6,13.133,False,205393.04000000004,6.39408229217504e-05,Large
78,44.3,32.6,24.9,20.837,False,35960.082,0.000579448066887,Large
79,67.2,46.3,23.3,30.0,False,72494.68800000001,0.0004138234238624,Large
80,70.1,59.2,78.0,30.0,False,323693.76,9.26801925375392e-05,Large
81,30.3,35.5,34.5,10.202,False,37109.925,0.0002749129781318,Large
82,116.7,78.0,71.9,30.0,False,654476.9400000001,4.5838131439741785e-05,Large
