id,length,width,height,weight_kg,fragile
0,21,37,25,11.94,True
1,77,54,15,29.93,True
2,33,34,42,30.5,True
3,169,129,103,11.8,False
4,80,80,139,21.71,False
5,68,41,16,5.54,True
6,42,58,26,40.55,False
7,79,44,15,28.05,False
8,65,24,12,33.4,False
9,189,89,62,19.63,False
10,43,30,33,18.41,False
11,167,142,59,30.85,True
12,35,30,39,19.59,True
13,73,23,24,41.27,False
14,24,33,46,43.94,False
15,51,45,39,8.0,True
16,55,54,26,37.6,False
17,131,106,78,49.87,True
18,25,23,17,8.49,True
19,134,136,58,19.85,False
20,55,20,17,34.4,False
21,123,74,87,22.3,False
22,66,36,42,38.34,True
23,118,141,114,30.84,True
24,30,54,43,46.01,False
25,27,43,29,12.73,True
26,90,70,143,24.81,True
27,148,76,66,33.33,True
28,75,58,37,48.25,True
29,131,145,133,19.3,False
30,34,24,31,2.03,True
31,20,24,50,3.88,True
32,190,102,59,26.19,False
33,33,54,18,36.44,False
34,50,46,22,5.62,False
35,46,49,13,33.99,True
36,66,41,16,13.18,True
37,28,47,21,14.65,True
38,89,116,120,5.8,True
39,198,90,71,20.91,False
40,45,23,20,19.57,False
41,70,49,28,21.73,False
42,38,33,13,29.38,True
43,87,66,124,24.36,True
44,52,25,21,4.36,True
45,35,45,17,47.14,True
46,22,59,15,21.54,False
47,106,145,141,16.4,False
48,62,39,39,16.49,True
49,59,56,16,4.59,True
50,28,42,14,44.08,False
51,48,54,29,30.97,True
52,55,39,16,47.01,True
53,76,26,45,8.62,False
54,65,41,23,34.69,False
55,36,23,15,32.08,False
56,41,28,50,49.01,True
57,150,150,104,28.48,True
58,76,29,44,2.77,False
59,29,47,18,3.05,False
60,181,65,95,11.29,True
61,42,55,36,48.72,True
62,110,80,72,44.19,True
63,79,41,36,40.31,True
64,70,26,34,43.74,False
65,72,49,32,15.95,True
66,62,32,35,17.08,True
67,115,104,132,25.96,False
68,94,93,72,29.45,False
69,58,47,32,36.7,False
70,52,27,34,45.08,True
71,65,47,10,26.48,True
72,24,41,49,16.38,True
73,118,124,89,33.68,False
74,38,55,18,10.4,False
75,77,31,49,28.89,False
76,20,39,28,11.3,False
77,48,33,42,24.19,True
78,38,52,50,31.34,True
79,176,90,136,16.21,True
80,22,35,40,30.95,True
81,76,60,46,10.53,False
82,35,29,10,44.74,True
83,108,82,139,26.38,True
84,78,27,39,7.53,False
85,55,58,30,47.55,False
86,66,52,37,41.7,False
87,175,120,107,13.7,True
88,115,126,112,31.71,False
89,65,38,25,14.31,False
90,90,77,69,12.33,True
91,88,113,102,17.21,False
92,33,46,34,45.34,True
93,177,133,98,24.37,False
94,44,46,44,37.63,True
95,37,47,41,2.42,False
96,71,45,20,42.18,True
97,148,63,100,30.0,True
98,47,28,39,9.9,False
99,33,49,30,17.54,False

